file_name,image_id,annotation_id,num_keypoints_recorded,num_keypoints_visible
tur_17_5203_4480.jpg,1,25,6,6
tur_17_5204_5889.jpg,2,36,7,7
tur_17_5203_10805.jpg,3,32,8,8
tur_17_5205_1821.jpg,4,39,13,13
tur_17_5215_3439.jpg,5,58,10,10
tur_17_5213_9187.jpg,6,56,9,9
tur_17_5204_8693.jpg,7,37,7,7
tur_17_5214_404.jpg,8,57,13,13
tur_17_5202_10535.jpg,9,8,8,8
tur_17_5215_3908.jpg,10,59,7,7
tur_17_5204_5469.jpg,11,35,8,8
tur_17_5205_2280.jpg,12,40,7,7
tur_17_5212_993.jpg,13,52,10,10
tur_17_5204_1750.jpg,14,26,10,10
tur_17_5215_492.jpg,15,78,10,10
tur_17_5202_8758.jpg,16,34,9,9
tur_17_5213_5789.jpg,17,55,7,7
tur_17_5218_4188.jpg,18,70,9,9
tur_17_5210_8012.jpg,19,50,11,11
tur_17_5202_3908.jpg,20,16,9,9
tur_17_5217_1033.jpg,21,64,13,13
tur_17_5213_3211.jpg,22,54,8,8
tur_17_5217_580.jpg,23,68,9,9
tur_17_5206_11486.jpg,24,42,12,12
tur_17_5202_6765.jpg,25,18,7,7
tur_17_5210_19115.jpg,26,47,10,10
tur_17_5213_204.jpg,27,53,13,13
tur_17_5202_3501.jpg,28,11,6,6
tur_17_5217_4518.jpg,29,65,9,9
tur_17_5202_13245.jpg,30,9,7,7
tur_17_5207_5702.jpg,31,45,7,7
tur_17_5202_240.jpg,32,10,7,7
tur_17_5210_14232.jpg,33,46,7,7
tur_17_5218_2003.jpg,34,69,8,8
tur_17_5215_4186.jpg,35,60,8,8
tur_17_5206_1610.jpg,36,43,6,6
tur_17_5206_5440.jpg,37,44,7,7
tur_17_5218_5095.jpg,38,71,10,10
tur_17_5210_4385.jpg,39,48,6,6
tur_17_5203_434.jpg,40,24,5,5
tur_17_5220_2610.jpg,41,81,9,9
tur_17_5220_4313.jpg,42,82,11,11
bzl_5_5233_359.jpg,43,123,10,10
bzl_5_5222_22315.jpg,44,117,7,7
bzl_5_5222_20925.jpg,45,116,10,10
bzl_14_5225_1185.jpg,46,97,8,8
bzl_14_5222_16805.jpg,47,87,8,8
bzl_5_5224_516.jpg,48,118,6,6
bzl_5_5233_1410.jpg,49,119,8,8
bzl_5_5233_1703.jpg,50,120,12,12
bzl_14_5222_7867.jpg,51,94,12,12
bzl_14_5222_1007.jpg,52,83,9,9
bzl_14_5225_1671.jpg,53,98,9,9
bzl_14_5227_233.jpg,54,108,9,9
bzl_5_5233_3024.jpg,55,122,8,8
bzl_14_5225_2063.jpg,56,99,10,10
bzl_5_5233_2159.jpg,57,121,10,10
bzl_14_5225_2663.jpg,58,100,14,14
bzl_14_5222_7120.jpg,59,92,10,10
bzl_14_5227_2808.jpg,60,109,10,10
bzl_14_5228_268.jpg,61,113,10,10
bzl_14_5222_11944.jpg,62,84,7,7
bzl_14_5227_10483.jpg,63,102,10,10
bzl_14_5227_3045.jpg,64,110,10,10
bzl_14_5233_4929.jpg,65,114,12,12
bzl_14_5222_17887.jpg,66,88,10,10
bzl_14_5222_9278.jpg,67,95,9,9
bzl_14_5227_12030.jpg,68,104,10,10
bzl_14_5227_5420.jpg,69,111,9,9
bzl_14_5227_2262.jpg,70,107,9,9
bzl_14_5222_13916.jpg,71,85,9,9
bzl_14_5222_6010.jpg,72,90,11,11
bzl_14_5225_2897.jpg,74,101,12,12
bzl_14_5222_15600.jpg,75,86,10,10
bzl_5_5222_19274.jpg,76,115,13,13
bzl_14_5227_15260.jpg,77,106,10,10
bzl_14_5227_6722.jpg,78,112,12,12
usa_14_5239_4819.jpg,79,126,10,10
usa_14_5239_5198.jpg,80,127,10,10
usa_14_5239_5675.jpg,81,128,9,9
usa_14_5239_6786.jpg,82,129,9,9
usa_14_5239_7211.jpg,83,130,8,8
usa_14_5239_7772.jpg,84,131,8,8
usa_14_5239_8163.jpg,85,132,8,8
usa_14_5239_8714.jpg,86,133,10,10
usa_14_5239_9610.jpg,87,134,9,9
usa_14_5239_11158.jpg,88,124,9,9
usa_14_5240_477.jpg,89,137,6,6
usa_14_5240_2301.jpg,90,135,12,12
usa_14_5241_169.jpg,91,138,11,11
usa_14_5241_2405.jpg,92,141,12,12
usa_14_5241_1819.jpg,93,139,10,10
usa_14_5243_466.jpg,94,145,11,11
usa_14_5243_2161.jpg,95,142,12,12
usa_14_5239_195.jpg,96,125,10,10
bzl_14_5222_245.jpg,97,147,12,12
bzl_14_5222_2388.jpg,98,146,12,12
usa_14_5243_5065.jpg,99,149,9,9
usa_14_5243_4574.jpg,100,148,11,11
usa_14_5243_6672.jpg,101,150,12,12
